Std_Loc_Name,Transect_Num,Height,PROSO,Trials,Event_Year,Visit
Uplands_PARK_Bullwinkle_002,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_002,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_002,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_002,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_002,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_002,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_002,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_002,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_002,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_002,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_002,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_002,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_002,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_003,1,Subcanopy + Canopy,2,40,2011,T1
Uplands_PARK_Bullwinkle_003,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_003,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_003,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_003,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_003,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_003,1,Subcanopy + Canopy,4,40,2016,T2
Uplands_PARK_Bullwinkle_003,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_003,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_003,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_003,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_003,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_003,1,Subcanopy + Canopy,5,40,2021,T3
Uplands_PARK_Bullwinkle_003,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_003,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_003,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_003,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_003,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_004,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_004,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_004,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_004,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_004,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_004,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_004,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_004,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_004,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_004,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_004,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_004,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_004,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_004,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_004,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_004,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_004,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_004,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_005,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_005,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_005,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_005,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_005,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_005,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Bullwinkle_005,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_005,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_005,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_005,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_005,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_005,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Bullwinkle_005,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_005,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_005,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_005,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_005,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Bullwinkle_005,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_002,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_002,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_002,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_002,4,Subcanopy + Canopy,2,40,2011,T1
Uplands_PARK_Rocky_002,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_002,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_002,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_002,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_002,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_002,4,Subcanopy + Canopy,7,40,2016,T2
Uplands_PARK_Rocky_002,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_002,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_002,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_002,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_002,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_002,4,Subcanopy + Canopy,3,40,2021,T3
Uplands_PARK_Rocky_002,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_002,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_003,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_003,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_003,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_003,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_003,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_003,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_003,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_003,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_003,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_003,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_003,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_003,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_003,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_003,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_003,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_003,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_003,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_003,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_005,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_005,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_005,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_005,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_005,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_005,6,Subcanopy + Canopy,3,40,2011,T1
Uplands_PARK_Rocky_005,1,Subcanopy + Canopy,6,40,2016,T2
Uplands_PARK_Rocky_005,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_005,3,Subcanopy + Canopy,4,40,2016,T2
Uplands_PARK_Rocky_005,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_005,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_005,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_005,1,Subcanopy + Canopy,5,40,2021,T3
Uplands_PARK_Rocky_005,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_005,3,Subcanopy + Canopy,3,40,2021,T3
Uplands_PARK_Rocky_005,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_005,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_005,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_010,1,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_010,2,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_010,3,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_010,4,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_010,5,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_010,6,Subcanopy + Canopy,0,40,2011,T1
Uplands_PARK_Rocky_010,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_010,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_010,3,Subcanopy + Canopy,1,40,2016,T2
Uplands_PARK_Rocky_010,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_010,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_010,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_010,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_010,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_010,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_010,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_010,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_010,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_011,1,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_011,2,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_011,3,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_011,4,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_011,5,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_011,6,Subcanopy + Canopy,0,40,2016,T2
Uplands_PARK_Rocky_011,1,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_011,2,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_011,3,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_011,4,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_011,5,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_011,6,Subcanopy + Canopy,0,40,2021,T3
Uplands_PARK_Rocky_011,,,,,2011,T1
